City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
368,buala,SB,78.69,light rain,-8.145,159.5921,Maringe Lagoon Lodge
369,saint-pierre,RE,80.6,light rain,-21.3393,55.4781,Lindsey Hôtel
371,isangel,VU,77.94,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
376,lorengau,PG,80.29,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
380,mount pleasant,US,78.01,broken clouds,32.7941,-79.8626,Best Western Patriots Point
383,bubaque,GW,77.74,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
384,phan thiet,VN,77.54,broken clouds,10.9333,108.1,Hotel Saigon-PT
386,careiro da varzea,BR,86.0,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
388,saint-joseph,RE,80.6,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
391,odweyne,SO,82.18,few clouds,9.4092,45.06399999999999,Eng Hiirey House
398,brandon,US,88.0,broken clouds,27.9378,-82.2859,Brandon Motor Lodge
400,totness,SR,82.69,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
401,meulaboh,ID,78.42,overcast clouds,4.1363,96.1285,Kost Pria
402,ormara,PK,80.31,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
409,mackay,AU,71.6,few clouds,-21.15,149.2,International Lodge Motel
415,vargem alta,BR,77.65,few clouds,-20.6714,-41.0069,Pousada Mont Serrat
421,dawei,MM,77.94,scattered clouds,14.0833,98.2,Hotel Dawei
423,tautira,PF,78.8,light rain,-17.7333,-149.15,Pension Oaoa
431,miramar,US,84.0,broken clouds,25.9873,-80.2323,Miramar
432,umm lajj,SA,72.77,clear sky,25.0213,37.2685,Moon light Furnished Units
435,grand baie,MU,80.01,overcast clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
439,farrukhnagar,IN,82.99,few clouds,17.0778,78.2011,Musthafa Five Star Kiranam
440,tiarei,PF,78.8,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
443,marawi,PH,77.0,overcast clouds,7.9986,124.2928,Derogongan Residence
444,matara,LK,78.24,clear sky,5.9485,80.5353,Amaloh Boutique Resort
448,masuguru,TZ,73.09,light rain,-11.3667,38.4167,
452,hambantota,LK,80.76,clear sky,6.1241,81.1185,Bungalow 63
454,pilar do sul,BR,78.42,clear sky,-23.8131,-47.7164,HOTEL CENTRAL
457,labuhan,ID,78.98,moderate rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
461,roma,US,73.99,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
464,mocuba,MZ,70.81,overcast clouds,-16.8392,36.9856,Phama Lodge
469,mana,GF,83.1,scattered clouds,5.6592,-53.7767,LE SAMANA
472,bambous virieux,MU,80.01,scattered clouds,-20.3428,57.7575,Casa Tia Villa
473,myitkyina,MM,72.61,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
474,camopi,GF,79.75,light rain,3.1655,-52.3158,
475,matehuala,MX,82.08,clear sky,23.65,-100.65,Las Palmas Midway Inn
477,abonnema,NG,89.6,few clouds,4.7084,6.7931,Corper's Lodge Obonoma
478,aransas pass,US,78.01,broken clouds,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
479,richards bay,ZA,72.57,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
483,avera,US,73.4,clear sky,33.194,-82.5271,
484,pangai,TO,76.73,light rain,-19.8,-174.35,Ha'apai Beach Resort
485,malinyi,TZ,71.98,light rain,-8.9333,36.1333,
486,buchanan,LR,89.6,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
488,mareeba,AU,77.0,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
490,manyana,BW,75.38,clear sky,-23.4,21.7167,
492,afogados da ingazeira,BR,88.52,broken clouds,-7.7508,-37.6392,Hotel Brotas
495,samarinda,ID,73.47,broken clouds,-0.5,117.15,Aston Samarinda Hotel & Convention Center
496,neiafu,TO,71.6,broken clouds,-18.65,-173.9833,Mystic Sands
497,cambridge,CA,72.0,clear sky,43.3601,-80.3127,Cambridge Gateway Suites
498,kailua,US,71.6,broken clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
499,moron,AR,70.0,light rain,-34.6534,-58.6198,Hotel Morón
500,villa sandino,NI,87.8,scattered clouds,12.0483,-84.9936,Salón Rossmary
503,garhi khairo,PK,89.98,broken clouds,28.0606,67.9803,Bandh Ali Hotel
505,pasir gudang,MY,82.4,broken clouds,1.4584,103.8805,Swan Garden Hotel
506,pochutla,MX,87.01,clear sky,15.7432,-96.4661,Hotel Posada San Jose
507,san cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
512,iralaya,HN,86.0,broken clouds,15.0,-83.2333,Iglesia morava renovada
513,uarini,BR,87.8,scattered clouds,-2.99,-65.1083,
520,cabo rojo,PR,82.99,broken clouds,18.0866,-67.1457,Hotel Perichi's
526,vung tau,VN,81.23,broken clouds,10.345999999999998,107.0843,Green hotel
531,kampot,KH,78.8,scattered clouds,10.6167,104.1833,Two Moons Hotel
