City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Metro,ID,2021-04-08 01:57:25,-5.1131,105.3067,81.46,72,94,5.77
92,Hermanus,ZA,2021-04-08 01:57:25,-34.4187,19.2345,59.0,91,85,6.24
93,Itupiranga,BR,2021-04-08 01:57:25,-5.1347,-49.3267,75.36,90,100,3.2
94,Kafanchan,NG,2021-04-08 01:57:26,9.5833,8.3,76.82,36,74,2.44
95,Makakilo City,US,2021-04-08 01:57:19,21.3469,-158.0858,78.8,53,75,13.8
96,Cairns,AU,2021-04-08 01:52:38,-16.9167,145.7667,87.8,62,40,6.91
97,Jodhpur,IN,2021-04-08 01:57:26,26.2867,73.03,76.62,17,0,6.33
98,Lompoc,US,2021-04-08 01:57:27,34.6391,-120.4579,59.0,63,59,12.66
99,Newala,TZ,2021-04-08 01:57:27,-10.9431,39.2787,62.47,95,14,2.55
100,Izumo,JP,2021-04-08 01:57:28,35.3667,132.7667,60.8,55,75,6.91
101,Jamestown,US,2021-04-08 01:57:28,42.097,-79.2353,62.6,59,1,8.05
102,Hambantota,LK,2021-04-08 01:57:29,6.1241,81.1185,73.4,100,20,2.3
103,Ghanzi,BW,2021-04-08 01:57:29,-21.5667,21.7833,63.21,57,25,7.52
104,Avarua,CK,2021-04-08 01:57:29,-21.2078,-159.775,82.4,69,75,9.22
105,Victoria,HK,2021-04-08 01:56:40,22.2855,114.1577,75.0,77,90,1.99
106,Slave Lake,CA,2021-04-08 01:57:30,55.2834,-114.769,39.2,75,90,10.36
107,Ancud,CL,2021-04-08 01:57:30,-41.8697,-73.8203,54.0,88,100,8.99
108,Geraldton,AU,2021-04-08 01:57:31,-28.7667,114.6,73.4,68,94,17.27
109,Vila Velha,BR,2021-04-08 01:56:58,-20.3297,-40.2925,69.8,94,20,3.44
110,Alofi,NU,2021-04-08 01:57:31,-19.0595,-169.9187,82.4,69,40,8.05
111,Saskylakh,RU,2021-04-08 01:57:32,71.9167,114.0833,7.45,93,100,7.43
112,Druzhba,UA,2021-04-08 01:57:32,52.0428,33.9453,31.91,93,98,11.61
113,Roald,NO,2021-04-08 01:57:32,62.5833,6.1333,32.0,86,75,10.36
114,Somerville,US,2021-04-08 01:55:07,42.3876,-71.0995,51.01,76,75,3.4
115,Pevek,RU,2021-04-08 01:57:33,69.7008,170.3133,-12.15,92,81,4.03
116,Zatyshshya,UA,2021-04-08 01:57:34,47.3335,29.8733,31.01,74,80,6.69
117,Saldanha,ZA,2021-04-08 01:57:34,-33.0117,17.9442,62.1,91,4,17.47
118,Mahebourg,MU,2021-04-08 01:57:34,-20.4081,57.7,77.0,88,75,9.22
119,Cahul,MD,2021-04-08 01:57:35,45.9075,28.1944,33.94,76,96,3.15
120,Bathsheba,BB,2021-04-08 01:57:35,13.2167,-59.5167,78.8,65,20,10.36
121,Souillac,MU,2021-04-08 01:57:35,-20.5167,57.5167,77.0,88,75,9.22
122,Luderitz,NA,2021-04-08 01:57:36,-26.6481,15.1594,68.41,53,0,8.41
123,Edd,ER,2021-04-08 01:57:36,13.9297,41.6925,85.87,23,28,16.84
124,Naze,JP,2021-04-08 01:57:37,28.3667,129.4833,71.6,53,75,11.5
125,Stornoway,GB,2021-04-08 01:57:37,58.2093,-6.3865,44.6,93,75,18.41
126,Provideniya,RU,2021-04-08 01:57:38,64.3833,-173.3,6.8,61,0,6.71
127,Halifax,CA,2021-04-08 01:57:38,44.6453,-63.5724,44.6,87,100,10.36
128,Kargasok,RU,2021-04-08 01:57:38,59.0556,80.8572,32.09,93,100,6.78
129,Zapadnaya Dvina,RU,2021-04-08 01:57:39,56.259,32.0745,29.97,87,100,6.35
130,Thompson,CA,2021-04-08 01:57:39,55.7435,-97.8558,41.0,52,40,8.05
131,Lebu,CL,2021-04-08 01:57:40,-37.6167,-73.65,54.18,91,22,5.84
132,Havoysund,NO,2021-04-08 01:57:40,70.9963,24.6622,30.2,80,75,10.36
133,East London,ZA,2021-04-08 01:57:40,-33.0153,27.9116,65.12,78,55,10.0
134,Luanshya,ZM,2021-04-08 01:57:41,-13.1367,28.4166,54.03,93,40,4.12
135,Boras,SE,2021-04-08 01:57:41,57.721,12.9401,30.2,86,0,4.61
136,Genhe,CN,2021-04-08 01:57:42,50.7833,121.5167,43.7,34,9,1.43
137,Kirakira,SB,2021-04-08 01:57:42,-10.4544,161.9205,84.4,69,100,11.16
138,Waipawa,NZ,2021-04-08 01:57:42,-41.4122,175.5153,69.8,60,2,17.27
139,San Patricio,US,2021-04-08 01:57:43,28.017,-97.5169,75.2,88,75,11.5
140,Pringsewu,ID,2021-04-08 01:57:43,-5.3582,104.9744,83.59,61,92,2.04
141,Kamenka,RU,2021-04-08 01:57:44,51.3223,42.7678,47.16,94,79,10.36
142,Komsomolskiy,UZ,2021-04-08 01:57:44,40.4272,71.7189,51.8,50,0,2.3
143,Beloostrov,RU,2021-04-08 01:57:45,60.1512,30.0015,30.0,93,0,6.71
144,Kashi,CN,2021-04-08 01:57:45,39.4547,75.9797,42.8,81,40,4.47
145,Zhanaozen,KZ,2021-04-08 01:57:45,43.3,52.8,52.77,35,0,11.88
146,Cidreira,BR,2021-04-08 01:57:46,-30.1811,-50.2056,73.76,74,2,21.32
147,Isiro,CD,2021-04-08 01:57:46,2.7739,27.616,65.03,99,100,4.07
148,Georgetown,MY,2021-04-08 01:57:46,5.4112,100.3354,82.4,89,20,2.3
149,Santa Catalina,PH,2021-04-08 01:57:47,9.3337,122.8637,86.0,62,40,9.22
150,Barrow,US,2021-04-08 01:57:47,71.2906,-156.7887,-18.4,63,90,11.5
151,Carnarvon,AU,2021-04-08 01:57:48,-24.8667,113.6333,78.8,61,6,23.02
152,Fortuna,US,2021-04-08 01:57:48,40.5982,-124.1573,51.01,81,90,12.66
153,Wattegama,LK,2021-04-08 01:57:49,6.7989,81.4808,73.4,100,20,2.3
154,Padang,ID,2021-04-08 01:57:49,-0.9492,100.3543,80.6,89,20,1.14
155,Praia Da Vitoria,PT,2021-04-08 01:57:50,38.7333,-27.0667,59.0,77,40,15.08
156,Pisco,PE,2021-04-08 01:54:48,-13.7,-76.2167,69.01,83,0,19.57
157,Buloh Kasap,MY,2021-04-08 01:57:50,2.5536,102.764,77.0,94,20,3.44
158,Port Alfred,ZA,2021-04-08 01:57:50,-33.5906,26.891,66.65,86,91,10.16
159,Sangar,RU,2021-04-08 01:57:51,63.9242,127.4739,12.24,84,93,15.39
160,Vanavara,RU,2021-04-08 01:57:51,60.34,102.2797,31.77,89,100,6.4
161,Srednekolymsk,RU,2021-04-08 01:57:52,67.45,153.6833,11.08,72,82,2.84
162,Upernavik,GL,2021-04-08 01:57:52,72.7868,-56.1549,-1.55,85,98,6.67
163,Mahibadhoo,MV,2021-04-08 01:57:53,3.7833,72.9667,81.95,72,12,6.96
164,Sigli,ID,2021-04-08 01:57:53,5.3848,95.9609,81.09,74,100,1.72
165,San Carlos De Bariloche,AR,2021-04-08 01:57:53,-41.1456,-71.3082,50.0,71,75,9.22
166,Menongue,AO,2021-04-08 01:57:54,-14.6585,17.691,61.57,69,34,1.3
167,Karratha,AU,2021-04-08 01:57:54,-20.7377,116.8463,89.15,47,14,14.14
168,Epernay,FR,2021-04-08 01:56:24,49.05,3.95,35.6,87,0,2.33
169,Bar Harbor,US,2021-04-08 01:57:55,44.3876,-68.2039,51.8,76,90,9.22
170,Bilma,NE,2021-04-08 01:57:55,18.6853,12.9164,80.94,6,45,4.81
171,Paita,PE,2021-04-08 01:57:56,-5.0892,-81.1144,73.08,75,98,13.62
172,Anadyr,RU,2021-04-08 01:57:56,64.75,177.4833,-7.01,84,0,8.95
173,Tuxpan,MX,2021-04-08 01:57:57,19.55,-103.4,64.53,56,0,3.65
174,San Miguelito,PA,2021-04-08 01:57:57,9.0333,-79.5,82.4,83,40,8.05
175,Puerto Escondido,MX,2021-04-08 01:57:58,15.85,-97.0667,80.64,73,58,8.1
176,Nago,JP,2021-04-08 01:57:58,26.5881,127.9761,73.4,56,1,8.05
177,Firminy,FR,2021-04-08 01:57:58,45.3873,4.2907,23.0,80,0,1.14
178,Atambua,ID,2021-04-08 01:57:59,-9.1061,124.8925,80.19,75,92,1.45
179,Yibin,CN,2021-04-08 01:57:59,28.7667,104.6238,66.63,63,99,2.46
180,Raudeberg,NO,2021-04-08 01:57:59,61.9875,5.1352,30.99,86,100,8.55
181,Shahr-E Babak,IR,2021-04-08 01:58:00,30.1165,55.1186,56.39,13,65,5.88
182,Pangnirtung,CA,2021-04-08 01:58:00,66.1451,-65.7125,29.82,95,100,9.28
183,Taywarah,AF,2021-04-08 01:58:01,33.35,64.4167,38.05,45,0,5.08
184,Abalak,RU,2021-04-08 01:58:01,58.1286,68.5944,33.28,88,82,7.23
185,Qaanaaq,GL,2021-04-08 01:58:01,77.484,-69.3632,2.43,68,100,8.14
186,Norman Wells,CA,2021-04-08 01:58:02,65.282,-126.8329,10.4,52,20,10.36
187,Yar-Sale,RU,2021-04-08 01:58:02,66.8333,70.8333,15.49,100,100,3.58
188,Saint-Pierre,RE,2021-04-08 01:58:03,-21.3393,55.4781,78.8,73,20,6.91
189,Saint-Philippe,RE,2021-04-08 01:58:03,-21.3585,55.7679,78.8,73,20,6.91
190,Shelburne,CA,2021-04-08 01:58:04,44.0787,-80.2041,52.0,47,22,9.55
191,Los Llanos De Aridane,ES,2021-04-08 01:58:04,28.6585,-17.9182,68.0,88,40,5.75
192,Hulyaypole,UA,2021-04-08 01:58:04,47.6653,36.2578,39.16,73,100,11.95
193,Qaqortoq,GL,2021-04-08 01:58:05,60.7167,-46.0333,35.6,64,75,1.14
194,Butembo,CD,2021-04-08 01:58:05,0.15,29.2833,57.31,95,93,3.44
195,Lorengau,PG,2021-04-08 01:58:05,-2.0226,147.2712,81.01,84,100,13.27
196,College,US,2021-04-08 01:58:06,64.8569,-147.8028,19.4,38,40,2.3
197,Itarema,BR,2021-04-08 01:58:06,-2.9248,-39.9167,80.51,81,96,13.91
198,La Mira,MX,2021-04-08 01:58:07,18.035,-102.3266,74.59,67,0,5.93
199,Springfield,US,2021-04-08 01:54:53,37.2153,-93.2982,53.01,69,1,11.01
200,Nisia Floresta,BR,2021-04-08 01:58:07,-6.0911,-35.2086,78.8,89,40,8.05
201,Salalah,OM,2021-04-08 01:58:08,17.0151,54.0924,75.2,50,0,4.61
202,Beloha,MG,2021-04-08 01:58:08,-25.1667,45.05,69.85,88,1,11.65
203,Sokoni,TZ,2021-04-08 01:58:08,-6.4333,39.55,77.63,87,91,17.78
204,Fort Nelson,CA,2021-04-08 01:58:09,58.8053,-122.7002,17.6,79,90,8.05
205,Oda,JP,2021-04-08 01:58:09,35.1833,132.5,60.8,55,75,6.91
206,Biak,ID,2021-04-08 01:58:10,-0.9131,122.8766,77.68,84,100,3.04
207,Lagoa,PT,2021-04-08 01:58:10,39.05,-27.9833,59.18,91,29,21.0
208,Dingle,PH,2021-04-08 01:58:10,10.9995,122.6711,85.5,60,100,9.42
209,Yerbogachen,RU,2021-04-08 01:58:11,61.2767,108.0108,33.67,91,66,10.27
210,Tuy Hoa,VN,2021-04-08 01:58:11,13.0833,109.3,83.62,64,52,5.53
211,Baykalsk,RU,2021-04-08 01:58:11,51.5058,104.1469,36.79,97,97,2.51
212,Corpus Christi,US,2021-04-08 01:58:12,27.8006,-97.3964,75.2,88,75,11.5
213,Wageningen,NL,2021-04-08 01:58:12,51.9667,5.6667,36.0,93,40,5.75
214,Kalmunai,LK,2021-04-08 01:58:13,7.4167,81.8167,78.6,80,76,4.76
215,Ostrovnoy,RU,2021-04-08 01:58:13,68.0531,39.5131,31.1,86,100,11.63
216,Sao Filipe,CV,2021-04-08 01:58:13,14.8961,-24.4956,74.43,66,53,8.75
